crate,slot,channel,cable,pmt,pc,qccc,bundle,hv,type,x,y,z,panel
0,1,26,EDNT,PJXD,JNAB,AO06,GAOQ,1863,0x00,653.268,265.878,-458.471,H282-06
0,1,27,EDNS,PIYU,JNAA,AO05,GAOQ,1864,0x00,603.046,311.908,-496.693,H282-05
0,1,28,EDNR,PJZM,JMZZ,AO04,GAOQ,1868,0x00,622.787,302.61,-476.79,H282-04
0,1,29,EDNQ,PJYO,JMZY,AO03,GAOQ,1856,0x00,642.516,293.329,-456.9,H282-03
0,1,30,EDNP,PJYZ,JMZX,AO02,GAOQ,1870,0x00,612.043,330.085,-475.244,H282-02
0,1,31,EDNO,PPFN,JMZW,AO01,GAOQ,1863,0x00,631.784,320.787,-455.341,H282-01
0,2,0,ECSS,POLG,JNAT,AN32,GALG,1867,0x00,784.925,10.368,-305.274,H239-14
0,2,1,ECSR,POJY,JNAS,AN31,GALG,1871,0x00,781.63,39.681,-306.996,H239-13
0,2,2,ECSQ,PIEN,JNAR,AN30,GALG,1869,0x00,778.367,68.972,-308.701,H239-12
0,2,3,ECSP,PLTV,JNAQ,AN29,GALG,1863,0x00,775.072,98.26,-310.418,H239-11
0,2,4,ECSO,POKO,JNAP,AN28,GALG,1853,0x00,771.799,127.571,-312.151,H239-10
0,2,5,ECSN,POJV,JNAO,AN27,GALG,1850,0x00,773.595,22.574,-329.676,H239-09
0,2,6,ECSM,PLXW,JNAN,AN26,GALG,1858,0x00,770.3,51.862,-331.394,H239-08
0,2,7,ECSL,PMAU,JNAM,AN25,GALF,1851,0x00,767.037,81.153,-333.098,H239-07
0,2,8,ECSK,PLWZ,JOLB,AN24,GALF,1853,0x00,763.765,110.439,-334.826,H239-06
0,2,9,ECSJ,PLUF,JOLA,AN23,GALF,1865,0x00,762.265,34.755,-354.074,H239-05
0,2,10,ECSI,PMLS,JOKZ,AN22,GALF,1866,0x00,758.993,64.041,-355.801,H239-04
0,2,11,ECSH,PMGV,JOKY,AN21,GALF,1853,0x00,755.731,93.332,-357.505,H239-03
0,2,12,ECSG,PLVQ,JOKX,AN20,GALF,1863,0x00,750.959,46.934,-378.481,H239-02
0,2,13,ECSF,PLPT,JOKW,AN19,GALF,1867,0x00,747.696,76.225,-380.185,H239-01
0,2,14,ECTN,PNIA,JOKV,AN18,GALJ,1851,0x00,785.214,112.107,-281.254,H241-07
0,2,15,ECTM,PNBI,JOKU,AN17,GALJ,1870,0x00,806.533,57.659,-229.447,H241-06
0,2,16,ECTL,PNKP,JIXB,AN16,GALJ,1874,0x00,797.413,70.212,-254.553,H241-05
0,2,17,ECTK,PNFL,JIXA,AN15,GALJ,1866,0x00,788.283,82.761,-279.682,H241-04
0,2,18,ECTJ,PNGF,JIWZ,AN14,GALJ,1856,0x00,800.505,40.89,-252.996,H241-03
0,2,19,ECTI,PMBT,JIWY,AN13,GALJ,1864,0x00,791.375,53.439,-278.125,H241-02
0,2,20,ECTH,PNHO,JIWX,AN12,GALJ,1868,0x00,794.453,24.122,-276.536,H241-01
0,2,21,ECTG,PMXU,JIWW,AN11,GALI,1859,0x00,780.798,144.485,-280.823,H240-14
0,2,22,ECTF,PNHT,JIWV,AN10,GALI,1855,0x00,789.928,131.936,-255.693,H240-13
0,2,23,ECTE,POBV,JIWU,AN09,GALI,1856,0x00,799.048,119.383,-230.587,H240-12
0,2,24,ECTD,PNHQ,JIWD,AN08,GALI,1856,0x00,808.178,106.809,-205.453,H240-11
0,2,25,ECTC,PNAN,JIWC,AN07,GALI,1872,0x00,817.299,94.256,-180.347,H240-10
0,2,26,ECTB,PMJD,JIWB,AN06,GALI,1858,0x00,784.757,160.996,-256.646,H240-09
0,2,27,ECTA,PMVN,JIWA,AN05,GALI,1861,0x00,793.886,148.447,-231.517,H240-08
0,2,28,ECSZ,PMBU,JIVZ,AN04,GALH,1849,0x00,803.007,135.869,-206.406,H240-07
0,2,29,ECSY,PMZZ,JIVY,AN03,GALH,1866,0x00,812.137,123.321,-181.277,H240-06
0,2,30,ECSX,POIV,JIVX,AN02,GALH,1853,0x00,788.715,177.507,-232.47,H240-05
0,2,31,ECSW,PNSB,JIVW,AN01,GALH,1859,0x00,797.836,164.929,-207.359,H240-04
0,3,0,ECSV,PNOM,JOMX,AM32,GALH,1863,0x00,806.966,152.381,-182.23,H240-03
0,3,1,ECSU,PNMC,JOMW,AM31,GALH,1849,0x00,792.688,193.988,-208.321,H240-02
0,3,2,ECST,POGL,JOMV,AM30,GALH,1861,0x00,801.818,181.439,-183.192,H240-01
0,3,3,EDQB,PLTM,JOMU,AM29,GAOZ,1867,0x00,757.016,160.503,-332.493,H286-14
0,3,4,EDQA,PMLZ,JOMT,AM28,GAOZ,1862,0x00,742.232,171.412,-355.617,H286-13
0,3,5,EDPZ,PLVI,JOMS,AM27,GAOZ,1869,0x00,727.481,182.31,-378.744,H286-12
0,3,6,EDPY,PMKE,JOMR,AM26,GAOZ,1871,0x00,712.69,193.201,-401.885,H286-11
0,3,7,EDPX,PLVS,JOMQ,AM25,GAOZ,1856,0x00,697.925,204.116,-425.023,H286-10
0,3,8,EDPW,PLSS,JNBB,AM24,GAOZ,1868,0x00,749.268,142.754,-354.775,H286-09
0,3,9,EDPV,PMMF,JNBA,AM23,GAOZ,1855,0x00,734.491,153.628,-377.904,H286-08
0,3,10,EDPU,PPCY,JNAZ,AM22,GAOY,1849,0x00,719.726,164.543,-401.043,H286-07
0,3,11,EDPT,PPGG,JNAY,AM21,GAOY,1863,0x00,704.955,175.435,-424.154,H286-06
0,3,12,EDPS,PPAW,JNAX,AM20,GAOY,1858,0x00,741.527,124.969,-377.062,H286-05
